table of content,table of content-href,requirements quests,levels,other,"items required	"
Forgettable Tale...,https://oldschool.runescape.wiki/w/Forgettable_Tale...,"The Giant Dwarf
Fishing Contest","22 Cooking
17 Farming",,"~400 coins
2 barley malt (no range in Keldagrim  plain barley has to be cooked elsewhere)
2 buckets of water
Spade (no Tool leprechaun in Keldagrim)
Seed dibber (no Tool leprechaun in Keldagrim)
Rake (obtainable during the quest)
Pot (obtainable during the quest)
Kebab (buy during quest for 1 coin)
3 beers (buy during quest for 1-2 coins each)
Dwarven stout (obtainable during the quest)
Beer glass (obtainable during the quest)
An empty fermenting vat in Keldagrim (the one in Port Phasmatys does not work)
A random item off the list below (see list for details)"
The Dig Site,https://oldschool.runescape.wiki/w/The_Dig_Site,Druidic Ritual,"10 Agility
10 Herblore
25 Thieving",,"A pestle and mortar
A vial
A tinderbox
A cup of tea (can be stolen from the Varrock tea stall)
2 Ropes (can be stolen from a Digsite workman)
An opal or uncut opal (small chance to acquire while panning for a quest item)
Charcoal (obtainable during the quest  but may take some time)
A specimen brush (obtained during the quest)
A specimen jar (obtained during the quest)
A panning tray (obtained during the quest)
A trowel (obtained during the quest)
Leather gloves and Leather boots
Recommended:

2 Varrock Teleports
Some energy potions or stamina potions to save time walking around.
2 Digsite teleports to teleport you just north of the exam center (One for starting the quest and one during the quest itself)
Buying the 2 ropes  opal  and charcoal beforehand will save time.
An additional piece of charcoal is recommended if planning to do Desert Treasure later."
Contact!,https://oldschool.runescape.wiki/w/Contact!,"Prince Ali Rescue
Icthlarin's Little Helper",,,"A light source (Kandarin headgear  Firemaking cape or a bruma torch are extremely recommended as they can't be extinguished by traps in the dungeon)
A tinderbox (unless you use an inextinguishable lightsource - all lanterns are extinguishable) Bullseyes are the best extinguishable lightsource  they go out the least often
Recommended:

Antipoison potion
Combat equipment
Food
The Pharaoh's sceptre or a Nardah teleport (to get to Sophanem)
An emergency escape teleport
Desert robes
Waterskins
A ring of dueling or amulet of glory (to quickly return to Al Kharid)
~800 coins
A Shantay pass (entry to the Kharidian Desert)
Prayer potions"
Garden of Tranquillity,https://oldschool.runescape.wiki/w/Garden_of_Tranquillity,Creature of Fenkenstrain,25 Farming,,"Ring of charos
All tool leprechaun tools
A rake
A seed dibber
A spade
Secateurs (magic secateurs work)
A watering can
A gardening trowel
A marigold seed
3+ cabbage seeds (planting both allotments isn't required but increases chances of surviving)
3+ onion seeds (planting both allotments isn't required but increases chances of surviving)
2 plant cures
A hammer
A fishing rod
A rune/pure essence
A pestle and mortar
A filled plant pot
2 compost/supercompost/ultracompost (note: Bottomless compost bucket will not work for these two required composts)
Recommended:

5 more compost/supercompost/ultracompost
An amulet of nature
A fishing/fly fishing rod (at least in your bank; ultimately optional but highly recommended)
Teleport method to the following patch locations:
Varrock
Draynor Village (amulet of glory)
Port Phasmatys farm (Ectophial)
Ardougne farm (Ardougne cloak 2+  Dramen/Lunar staff  or skills necklace)
Catherby farm (Camelot Teleport)
Burthorpe tavern (games necklace)
Edgeville Monastery (combat bracelet or amulet of glory)
Lumbridge
Falador
Taverley"
Clock Tower,https://oldschool.runescape.wiki/w/Clock_Tower,null,,The ability to run past level 53 Ogres,"Rat poison (obtainable during quest)
A bucket of water or ice gloves (an empty bucket next to a well spawns just east of the Clock Tower)
Recommended:

Stamina potions
Ardougne cloak"
The Fremennik Trials,https://oldschool.runescape.wiki/w/The_Fremennik_Trials,null,"25 Fletching
40 Woodcutting 
40 Crafting
48 Agility","The levels OR players kill Lanzig to obtain the lyre (1/17 chance)
Ability to defeat a level-69 NPC
Ability to defeat a fairly strong warrior without armour  weapons  or spells","5 252 coins
1 beer (obtainable during quest)
1 raw shark (can be bought from Rufus' Meat Emporium in Canifis)  manta ray  or sea turtle (Note: This is REQUIRED all the way in Rellekka; obtain the shark BEFORE going there  or prepare for a lot of walking.)
Tinderbox
If crafting Lyre yourself:
Woodcutting axe
Knife
Potato (obtainable during quest)
Onion (obtainable during quest)
Cabbage (obtainable during quest)
Recommended:

Some food
Armour and a weapon (note: Ranged is not effective)
3-5 prayer potions
3-5 super energy potions
A super combat potion or super set
Some Camelot teleport runes (and Teleport to House runes if you have your house located at Rellekka)"
A Taste of Hope,https://oldschool.runescape.wiki/w/A_Taste_of_Hope,Darkness of Hallowvale,"48 Crafting
45 Agility
40 Attack
40 Herblore
38 Slayer",,"1 000 coins (More if taking Andras' boat from the Ectofuntus  10 000 each trip)
Emerald
Chisel
3 air runes
1 cosmic rune
The runes are not needed if players are using an enchant emerald or jade tablet.
Rod of ivandis (can be obtained during the quest)
Pestle and mortar
Vial of water (obtained during the quest)
Weapons and armour
Recommended:

Pickaxe (can be obtained during the quest)
Stamina potion and weight-reducing clothing
Explorer's ring
Morytania legs 3 or 4 or another means of reaching Burgh de Rott quickly to reach Meiyerditch
If you need to make a new rod of Ivandis:

Sapphire
Mithril bar
Silver bar
Rod clay mould or Soft clay to make another mould
1 cosmic rune
1 water rune
Standard Spellbook or access to Spellbook Swap; Enchant Sapphire tablet will not work
1 rope"
Plague City,https://oldschool.runescape.wiki/w/Plague_City,null,,,"Dwellberries (can be bought from Heckel Funch's Grand Tree Groceries or picked in McGrubor's Wood)
A rope (can be found at certain general stores)
A spade (found where Edmond is)
4 Buckets of water (can be obtained where Edmond is)
A bucket of milk (can be obtained by milking the dairy cows north of Ardougne. It can also be bought from Heckel Funch's Grand Tree Groceries)
Chocolate dust (Can be made by using pestle and mortar or a knife on a chocolate bar which can be bought from the bakery stalls in East Ardougne)
Snape grass
Ultimate Ironmen: The ""Hangover cure"" can be made before the quest starts by combining milk  chocolate dust  and snapegrass to conserve inventory space."
Legends' Quest,https://oldschool.runescape.wiki/w/Legends%27_Quest,"Family Crest
Heroes' Quest
Shilo Village
Underground Pass
Waterfall Quest","50 Agility (boostable)
50 Crafting
45 Herblore (boostable from 41 with botanical pie [+4])
56 Magic
52 Mining (boostable)
42 Prayer (boostable)
50 Smithing (boostable)
50 Strength (boostable)
50 Thieving
50 Woodcutting (boostable)","107 Quest Quest points
The ability to defeat a level 187 demon","First  make sure that you are on the standard spellbook
Any machete (a regular one can be found by searching the cupboards next to Radimus Erkle)
2 gold bars (highly recommended to bring at least 6 gold bars)
A hammer
Rope
A rune/dragon axe
A lockpick (highly recommended to bring two lockpicks as you can lose one)
A pickaxe
At least one unpowered orb
A vial of water
One Ardrigal (can be obtained during the quest)
One Snake weed (can be obtained during the quest)
One of each of the following cut gems: Sapphire  Emerald  Ruby  Diamond  Opal  Jade  Red topaz
The following runes: 1 Soul  1 Mind  1 Earth and 2 Law runes.
Any Charge Orb spell runes (two if you decide to do the ""long path"" during the second fight with the demon)
Charcoal (1 minimum  3 to be safe  obtainable during the quest)
Papyrus (at least 3  5 to be safe  obtainable during the quest)
Highly recommended:

A Super Restore potion if your levels are not far above the following required levels:
50 Agility to squeeze through the crevice
50 Thieving to pick the locked door
52 Mining to smash the boulders (If boosting mining bring 2-3 Dwarven Stouts(m))
50 Strength to force the heavy door.
Combat equipment  food and several prayer potions"
Mourning's Ends Part I,https://oldschool.runescape.wiki/w/Mourning%27s_Ends_Part_I,"Roving Elves
Big Chompy Bird Hunting
Sheep Herder","60 Ranged (not boostable)
50 Thieving (boostable)",The ability to defeat a level 11 enemy with your combat stats reduced to 20 each.,"Bear fur
2 silk
One of each dye: red  yellow  green  and blue (more may be needed  can be obtained during quest)
A bucket of water
A feather
A rotten apple (*Must* be the rotten apple on the ground West of Mourner HQ.)
Toad crunchies (premade will work; called ""premade t'd crunch"" on the Grand Exchange can also be bought from the Gnome Waiter in The Grand Tree.)
Magic logs
Leather (tanned cowhide  make sure you choose Soft Leather)
Ogre bellows
10-20 coal if the player doesn't already have a barrel of naphtha
Recommended:

West ardougne teleport and Falador teleport tablets (runes are not recommended  because your stats will get drained)
Feldip hills teleport  Fairy rings or Ring of dueling to access Feldip Hills
Antipoison
Restore potion and food  if you are a low level
Redirected house tab to Rimmington (if you have not made a second barrel of naphtha)
Redirected house tab to Taverley
Necklace of passage (teleport to Outpost)"
My Arm's Big Adventure,https://oldschool.runescape.wiki/w/My_Arm%27s_Big_Adventure,"Eadgar's Ruse
The Feud
Jungle Potion","10 Woodcutting
29 Farming (boostable)","At least 60% favour in the Tai Bwo Wannai Cleanup minigame - must be acquired BEFORE starting this quest (it will be subtracted from total).
The ability to defeat a powerful level 172 Giant Roc

Recommended:
43 Prayer Prayer (Protect from Melee could negate damage from mountain trolls and Protect from Missiles along the Death Plateau route)
61 Magic Magic for Trollheim Teleport","Rake
Seed dibber
Spade
8 Supercompost or 7 supercompost and 1 compost
Plant cure
(All items above can be stored in the tool leprechaun on Trollheim)
3 Ugthanki dung (or red hot sauce  a pair of gloves  a spade  and three buckets to obtain the dung  can be obtained during the quest; though you will save time if you obtain it beforehand)
A bucket (can be obtained during the quest due south of the cooking pot on Death Plateau)
Climbing boots (can be bought from Tenzing for 12 coins)
Recommended:

Dramen staff
A Trollheim teleport
The camulet or Pollnivneach teleport (for fast travel to get the Ugthanki dung)
A games necklace
A ring of dueling
Food  armour  and a weapon"
Hazeel Cult,https://oldschool.runescape.wiki/w/Hazeel_Cult,null,,Able to defeat a level 13 monster (this applies only if you're taking the good side of the quest),"None
Recommended:

An Ardougne cloak 1 or higher helps save quite a bit of walking by giving teleports to the monastery. Energy Potion  Stamina Potion or the full Graceful outfit are useful  but in no way essential."
Goblin Diplomacy,https://oldschool.runescape.wiki/w/Goblin_Diplomacy,null,,,"3 suits of Goblin mail (obtained during the quest)
Blue dye (or 2 woad leaves)
Orange dye (or 2 onion and 3 redberries - mix red and yellow dye together)
35 coins (20 for the woad leaves if you offer 20 to Wyson the gardener  15 for mixing the dyes)"
The Golem,https://oldschool.runescape.wiki/w/The_Golem,null,"20 Crafting
25 Thieving",,"A vial
A pestle and mortar
Papyrus (can be bought from Ali Morrisane for 10gp after a small talking sequence and agreeing to meet his cousin  Ali can be found east of gem trader in Al Kharid)
2 Shantay pass (none  if you are using teleport/fairy rings)
4 soft clay or a bracelet of clay and a pickaxe (Note: Jugs or buckets of water evaporate in the desert heat)
Phoenix feather (can be obtained during quest when mining your own clay)"
Enter the Abyss,https://oldschool.runescape.wiki/w/Enter_the_Abyss,Rune Mysteries,,,"None
Recommended:

Varrock and Ardougne teleport runes and a method of teleportation to Edgeville (e.g. Amulet of glory) would be helpful.
Necklace of passage for easy teleport to Wizards' Tower."
Fight Arena,https://oldschool.runescape.wiki/w/Fight_Arena,null,,The ability to defeat level 44  63 and 137 enemies (all can be safespotted),"5 coins (for Khali brew)
Armour
Weapons
Food"
Cold War,https://oldschool.runescape.wiki/w/Cold_War,null,"10 Hunter
30 Agility
30 Crafting
34 Constructio
15 Thieving",Access to a crafting table 3,"10 oak planks
10 steel nails
A hammer
A spade
A plank
Silk
A clockwork or a steel bar
Swamp tar
5 feathers (only regular chicken feathers work) (can be obtained during quest)
Cowbells (obtained during quest)
A mahogany plank
Leather
A raw cod or the ring of charos (a)
Recommended:

Teleportation runes to Lumbridge  player-owned house and Ardougne
Games Necklace
Ardougne cloak 1 or higher to teleport to the Monastery near the Ardougne Zoo
Food
Access to the fairy ring network and a Dramen/Lunar staff"
Recipe for Disaster/Freeing Pirate Pete,https://oldschool.runescape.wiki/w/Recipe_for_Disaster/Freeing_Pirate_Pete,null,,The ability to defeat 5 level 30 monsters.,"A raw cod
A pestle and mortar
Bread
A knife
A fishbowl (empty)
A needle
3 bronze wire"
Death to the Dorgeshuun,https://oldschool.runescape.wiki/w/Death_to_the_Dorgeshuun,The Lost Tribe,"23 Agility
23 Thieving",The ability to defeat a level 50 enemy with Melee or Magic,"Any Light source and Tinderbox
2 sets of H.A.M. robes (all 7 pieces) (chance to receive robes is significantly higher during the quest)[1]
A pickaxe (if not using a games necklace to teleport to Tears of Guthix (minigame))
A rope (if you decide to go through the Lumbridge Swamp Caves and have never been there before)
Recommended:

A weapon (highly recommended)  Ranged cannot be used to kill Sigmund
Armour and/or food
A games necklace
Lumbridge Teleport runes or teleportation tabs
Optional:

A Sapphire Lantern to quickly complete the Tears of Guthix quest while in the Lumbridge Swamp Caves.
A chisel and any pickaxe."
Dream Mentor,https://oldschool.runescape.wiki/w/Dream_Mentor,"Lunar Diplomacy
Eadgar's Ruse",,85 Combat Combat,"A seal of passage
3 Different kinds of food: 6 of 1 type and 7 of 2 others for a total of 20 pieces (Sacks of cabbages  potatoes and onions can be used as they each contain 10 piece of their respective food and only require a total of 3 inventory slots)
Goutweed
An astral rune
A tinderbox
A hammer
A pestle and mortar
A good weapon (dragon dagger recommended)  good armour  good food like sharks  and super potion sets."
Sea Slug,https://oldschool.runescape.wiki/w/Sea_Slug,null,30 Firemaking,,"Swamp paste (made by mixing flour with swamp tar then cooking the mixture on a fire; can also be bought from a  Trader crewmember for 75 coins  from Rasolo for 60 gp west of the Fishing Guild  or from the Khazard General Store for 42 gp at full stock)
Recommended:

Small fishing net for Ardougne Medium Diary"
Elemental Workshop II,https://oldschool.runescape.wiki/w/Elemental_Workshop_II,Elemental Workshop I,"20 Magic
30 Smithing",,"A pickaxe
A hammer
2 elemental metals (3 elemental metals if you wish to smith the Mind shield)
8 Coal if you do not have the elemental metal bars (12 if you wish to smith the Mind shield)
The battered key from the first quest
Recommended:

A Camelot Teleport to get from the Digsite to Seers' Village (optional but recommended)
A restore potion to recover magic levels if your Magic level is below 40 and you wish to make the Mind shield
Optional:

The slashed book (if you wish to smith the Mind shield)"
Fishing Contest,https://oldschool.runescape.wiki/w/Fishing_Contest,null,10 Fishing,,"5 coins (10 if you buy a fishing rod from Jack)
Fishing pass (obtained during quest)
Garlic (obtainable during quest)
A fishing rod (obtainable during quest)
3 red vine worms (obtainable during the quest)
A spade"
Cabin Fever,https://oldschool.runescape.wiki/w/Cabin_Fever,"Pirate's Treasure
Rum Deal
Priest in Peril","42 Agility
45 Crafting
50 Smithing
40 Ranged",,"You don't need to bring any items yourself. However  make sure that you have at least 11 open inventory spaces for items you will obtain during the quest. A higher amount  like 14 open spaces  is recommended however.
Recommended:

If you have not completed Ghosts Ahoy you'll need 3500 coins to charter a ship.
Food (level 57 pirates will attack you on the ship)"
Scorpion Catcher,https://oldschool.runescape.wiki/w/Scorpion_Catcher,"
Alfred Grimhand's Barcrawl",31 Prayer,The ability to run past level 172 black demons and level 64 poison spiders,"Dusty key (no need for it if you have level 70 Agility  can be obtained during the quest)
Recommended:

An anti-dragon shield or dragonfire shield (no need if you have lvl 80 Agility)
Antipoison
Food
Runes to teleport to Camelot and Falador
A games necklace
A charged amulet of glory or a charged combat bracelet
Stamina potions or energy potions"
In Search of the Myreque,https://oldschool.runescape.wiki/w/In_Search_of_the_Myreque,Nature Spirit,25 Agility,The ability to defeat a level 97 foe (safespottable),"A steel longsword
2 steel swords
A steel mace
A steel warhammer
A steel dagger
225 steel nails
Note: It takes 9 steel bars to make all of steel items required (excluding nails  which can be purchased at the Sawmill; including nails  the amount is 24 steel bars). 39 Smithing is needed to smith these steel items. To make it a bit easier to obtain these as an iron man  one can buy the (long)sword and dagger from the Varrock Swordshop  mace from Flynn's Mace Market in Falador and the warhammer from Keldagrim's Vigr's Warhammers.
The Druid pouch containing at least 5 charges
Note: The pouch takes 3 per fill (need 6 Mort myre fungus or 3 Mort myre pear or Mort myre stem to have enough charges).
A hammer
6 planks
10 coins or a ring of charos (a)
Recommended:

43 Prayer Prayer (for Protect from Melee)
The Silver sickle (b) to fill the druid pouch and to collect fungi
Prayer potions
Food
Mort'ton teleports"
Recipe for Disaster/Defeating the Culinaromancer,https://oldschool.runescape.wiki/w/Recipe_for_Disaster/Defeating_the_Culinaromancer,"Desert Treasure
Horror from the Deep",,"175 Quest Quest points
Freeing the Goblin generals
Freeing the Mountain dwarf
Freeing Evil Dave
Freeing the Lumbridge Guide
Freeing Pirate Pete
Freeing Skrach Uglogwee
Freeing Sir Amik Varze
Freeing King Awowogei
The ability to defeat all enemies without Prayer","Ice gloves for defeating Flambeed
Restore potions since Karamel will lower your stats
Certain armour and weapons for each boss
Good healing food  such as sharks"
One Small Favour,https://oldschool.runescape.wiki/w/One_Small_Favour,"Rune Mysteries
Shilo Village","36 Agility (can be boosted)
25 Crafting
18 Herblore (can be boosted)
30 Smithing (can be boosted)",,"4 steel bars
A bronze bar
An iron bar
A chisel (can be obtained during the quest)
2 guam leaves
A marrentill
A harralander
A hammer (can be obtained during the quest)
An empty cup (can be obtained during the quest)
5 pigeon cages (can be obtained during the quest)
Note: you do not need to let the pigeons out of the cage in order for these to be used for the quest
A pot (Can be obtained during the quest. However  it is faster to already have one.)
A bowl of hot water (Can be obtained during the quest. However  it is faster to already have one.)
Soft Clay (one will be given to you when it is required)
Recommended:

Weight-reducing clothing (for every step of the quest except the Slagilith part)
Several teleports - about 5 teleports to Ardougne  Varrock  Camelot  Lumbridge  & Falador
Chronicle (for teleports to Seth)
Amulet of glory (for teleports to Karamja)
Skills Necklace (for teleports to the Fishing Guild)
Energy potions
Stamina potions
Two of each cut opal  jade  sapphire and red topaz gems (can be mined with 40 Mining)
The best pickaxe you can wield
~4 000 coins for transportation methods and buying replacement gems if you crush them
A Dramen or Lunar staff
Some armour and food (for the boss battle)  and some armour or a decent weapon for your second encounter with the dwarf gang members.
A lockpick  if your Thieving level is low"
Swan Song,https://oldschool.runescape.wiki/w/Swan_Song,"
One Small Favour
Garden of Tranquillity","66 Magic (boostable)
62 Cooking (boostable)
62 Fishing (boostable)
45 Smithing (boostable)
42 Firemaking
40 Crafting","100 Quest Quest points
The ability to defeat a combat level 170 monster  which is able to use Magic  Melee and can drain Prayer.","10 mist runes
10 lava runes
5 blood runes
A pickaxe (not required if you bring your own ores/bars/clay)
An axe of any sort for getting logs if you do not bring your own single log (obtainable during the quest)
A tinderbox (obtainable during the quest)
A hammer (obtainable during the quest)
Obtainable during the quest  but it is recommended to gather these items before starting the quest to save some time:

5 iron bars (obtainable during the quest)
2 soft clay (unless bringing pot and pot lid)
Logs of any kind (obtainable during the quest)
7 bones (obtainable during the quest)
A pot (obtainable during the quest)
A pot lid (obtainable during the quest)
A brown apron (is given to you during the quest if you do not have one)
Recommended:

50 coins or a ring of charos (if using the boat to get to the Colony)  or a Dramen/Lunar staff if you are using fairy rings
Alternatively  several Piscatoris teleports can be used to teleport there directly.
An amulet of glory (to teleport to Draynor Village)
A Watchtower teleport (or its spell equivalent if you have completed Watchtower. You can also use the Nightmare Zone Minigame Group Finder.)
Some prayer potions (to offset the Sea Troll Queen's magical Prayer-draining attacks)"
Dragon Slayer,https://oldschool.runescape.wiki/w/Dragon_Slayer,null,"8 Crafting
33 Magic","32 Quest Quest points to enter the Champions' Guild
The ability to defeat a level 83 dragon","An unfired bowl (can be made with soft clay on a Potter's Wheel with 8 Crafting Crafting)
A wizard's mind bomb (can be bought in the Rising Sun Inn in Falador or the Toad and Chicken in Burthorpe)
A lobster pot (can be bought from any fishing shop)
A piece of silk (can be stolen from the Ardougne silk stall (requires 20 Thieving Thieving)  or bought from Thessalia for 30 coins  or from the Al Kharid silk stall for 3 coins)
A magic/ranged weapon  a law and air rune (to cast Telekinetic Grab if your Magic level is 33 or higher) or 10 000 coins
A hammer
90 steel nails (members can buy these from the Sawmill operator northeast of Varrock  they can also be smithed at 34 Smithing Smithing using 6 steel bars by all players)
3 planks (regular planks only - can be found at Barbarian Outpost due north of the Agility course  in Port Khazard  or at the Graveyard of Shadows)
2 000 coins
Strongly recommended:"
Shadow of the Storm,https://oldschool.runescape.wiki/w/Shadow_of_the_Storm,"
The Golem
Demon Slayer",30 Crafting (can be boosted),The ability to defeat a level 100 demon,"Silverlight - Buy from Sir Prysin for 500gp if you do not have one.
Black mushroom ink (obtainable during quest with an empty vial)
A silver bar
A pestle and mortar
Any black outfit (minimum 3 pieces—The dyed Silverlight does NOT count as a piece of black clothing; see below.)
Note: Black desert robe and shirt are recommended and can be either made during the quest or bought directly from the Grand Exchange.
2 Shantay passes (if not teleporting directly into the desert)"
